title,description,instructor,category,price,old_price,level,duration_hrs,rating,featured
IGCSE Mathematics Excellence,"British curriculum support with topic mastery, exam practice, progress reports, and parent feedback.",Plato Academic Team,IGCSE,1200,1500,Intermediate,36,4.9,1
IGCSE Physics and Chemistry,"Structured science coaching for concepts, lab thinking, numericals, and past-paper confidence.",Dr. Science Faculty,IGCSE,1350,1650,Intermediate,42,4.8,1
CBSE Grade 10 Complete Support,"Mathematics, Science, English, and exam strategy for CBSE learners in the UAE.",CBSE Faculty Team,CBSE,1100,1400,Beginner,40,4.8,1
CBSE Grade 12 Commerce,"Accounting, Economics, and Business Studies coaching with board-exam practice.",Commerce Faculty,CBSE,1450,1800,Advanced,44,4.7,0
NEET Foundation Program,"Early medical entrance preparation for Grades 7 to 12 with biology, chemistry, physics, and testing.",Entrance Prep Team,NEET & IIT-JEE,1800,2200,Advanced,50,4.9,1
IIT-JEE Foundation Program,"Engineering entrance coaching with mathematics, physics, chemistry, problem solving, and mock tests.",Entrance Prep Team,NEET & IIT-JEE,1800,2200,Advanced,50,4.9,1
Plato Robotics Starter,"Hands-on robotics sessions that build logic, creativity, engineering habits, and teamwork.",Robotics Lab Faculty,Robotics,950,1200,Beginner,24,4.8,1
Advanced Robotics Lab,"Sensor-based builds, coding challenges, automation projects, and guided competitions.",Robotics Lab Faculty,Robotics,1350,1650,Intermediate,32,4.7,0
Brainobrain Skill Development,"Abacus and brain-skill training for children aged 6 to 15 to improve focus and confidence.",Brainobrain Coaches,Brainobrain,850,1100,Beginner,28,4.8,1
Oratory and Public Speaking,"Public speaking lessons that help students stand up, speak clearly, and communicate with confidence.",Communication Faculty,Oratory,900,1150,Beginner,22,4.8,1
English Language Classes,"Reading, writing, grammar, vocabulary, and speaking support for school and daily confidence.",Language Faculty,Languages,750,950,Beginner,24,4.6,0
French Language Classes,"French language support for school learners with speaking, grammar, listening, and writing practice.",Language Faculty,Languages,800,1000,Beginner,24,4.6,0
Arabic Language Classes,"Arabic learning support for school students with guided reading, writing, and speaking practice.",Language Faculty,Languages,800,1000,Beginner,24,4.6,0
IELTS Preparation Dubai and Sharjah,"Academic and General IELTS training with speaking practice, writing correction, and mock tests.",IELTS Faculty,IELTS,1250,1550,Intermediate,30,4.8,1
SATs Preparation,"SAT math, reading, writing, strategy, and timed practice for university admissions readiness.",SAT Faculty,SATs,1300,1600,Intermediate,32,4.7,0
